"deal_id","target_name","target_cik","cik_match_method"
"1742454020","Artemis International Solutions Corp","0001099674","cleaned"
"1732813020","Artesyn Technologies Inc","0000023071","cleaned"
"2606595020","ArthroCare Corp","0001005010","cleaned"
"2496082020","Artio Global Investors Inc","0001419178","cleaned"
"2019359020","Ashworth Inc","0000820774","cleaned"
"2112200020","Aspect Medical Systems Inc","0000886235","cleaned"
"3812049020","Aspen Technology Inc","0000356942","cleaned"
"2502135020","Asset Acceptance Capital Corp","0001264707","cleaned"
"2499634020","Assisted Living Concepts Inc","0000929994","cleaned"
"2745495020","Associated Estates Realty Corp","0000911635","cleaned"
"3550306020","Asta Funding Inc","0001001258","cleaned"
"3464272020","Astea International Inc","0000945989","cleaned"
"3477678020","Astea International Inc","0000945989","cleaned"
"3310138020","Asterias Biotherapeutics Inc","0001572552","cleaned"
"2563627020","Astex Pharmaceuticals Inc","0000919722","cleaned"
"3077333020","Astoria Financial Corp","0000910322","cleaned"
"3381205020","At Home Group Inc","0001646228","cleaned"
"1820031020","At Road Inc","0001109537","cleaned"
"3256393020","Athens Bancshares Corp","0001472093","cleaned"
"2256571020","Atheros Communications Inc","0001140486","cleaned"
"2679781020","Athlon Energy Inc","0001574648","cleaned"
"3190191020","Atlantic Bancshares Inc","0001334504","cleaned"
"3776079020","Atlantic Capital Bancshares Inc","0001461755","cleaned"
"3179023020","Atlantic Coast Financial Corp","0001404296","cleaned"
"3688733020","Atlantic Power Corp","0001419242","cleaned"
"2237671020","Atlas Energy Inc","0001279228","cleaned"
"2068521020","Atlas Energy Resources LLC","0001368802","cleaned"
"2684890020","Atlas Pipeline Partners LP","0001092914","cleaned"
"2879721020","Atmel Corp","0000872448","cleaned"
"3350619020","Attunity Ltd","0000893821","cleaned"
"3108898020","Atwood Oceanics Inc","0000008411","cleaned"
"3484028020","Audentes Therapeutics Inc","0001628738","cleaned"
"1948533020","Audible Inc","0001077926","cleaned"
"2748354020","Audience Inc","0001201663","cleaned"
"2738613020","Auspex Pharmaceuticals Inc","0001454189","cleaned"
"2437465020","AuthenTec Inc","0001138830","cleaned"
"1878871020","Authorize.Net Holdings Inc","0001017172","cleaned"
"2675174020","Auxilium Pharmaceuticals Inc","0001182129","cleaned"
"3959012020","Avalara Inc","0001348036","cleaned"
"2046141020","Avanex Corp","0001056794","cleaned"
"2701044020","Avanir Pharmaceuticals Inc","0000858803","cleaned"
"1871749020","Avaya Inc","0001116521","cleaned"
"3232429020","AveXis Inc","0001652923","cleaned"
"3441537020","Avedro Inc","0001343304","cleaned"
"2711885020","Aventine Renewable Energy Holdings Inc","0001285043","cleaned"
"2913290020","Avenue Financial Holdings Inc","0001616297","cleaned"
"2856557020","Avesis Inc","0000795574","cleaned"
"2115437020","Avocent Corp","0001109808","cleaned"
"2056800020","Axsys Technologies Inc","0000206030","cleaned"
"1754323020","Aztar Corp","0000852807","cleaned"
"2634022020","B/E Aerospace Inc","0000861361","cleaned"
"2530126020","BCSB Bancorp Inc","0001391137","cleaned"
"1913932020","BEA Systems Inc","0001031798","cleaned"
"1864012020","BISYS Group Inc","0000883587","cleaned"
"1883897020","BIW Ltd","0001169237","cleaned"
"2461812020","BMC Software Inc","0000835729","cleaned"
"3627187020","BMC Stock Holdings Inc","0001574815","cleaned"
"2234352020","BMP Sunstone Corp","0001281696","cleaned"
"1788570020","BNP Residential Properties Inc","0000812150","cleaned"
"1934692020","BOE Financial Services of Virginia Inc","0001109848","cleaned"
"2135540020","BPW Acquisition Corp","0001418255","cleaned"
"2590117020","BRE Properties Inc","0000009677","cleaned"
"2688093020","BTU International Inc","0000840883","cleaned"
"1790042020","BUCS Financial Corp","0001125813","cleaned"
"1787697020","Back Yard Burgers Inc","0000901495","cleaned"
"2243927020","Baldor Electric Co","0000009342","cleaned"
"2374395020","Baldwin Technology Co Inc","0000805792","cleaned"
"2660504020","Bally Technologies Inc","0000002491","cleaned"
"2743435020","Baltic Trading Ltd","0001474042","cleaned"
"2399507020","BancTrust Financial Group Inc","0000783739","cleaned"
"3450784020","Bancorp of New Jersey Inc","0001390312","cleaned"
"1818235020","Bandag Inc","0000009534","cleaned"
"2304201020","Bank of Granite Corp","0000810689","cleaned"
"2672213020","Bank of Kentucky Financial Corp","0000934547","cleaned"
"2750125020","Bank of the Carolinas Corp","0001365997","cleaned"
"1807341020","Banta Corp","0000009801","cleaned"
"2146905020","Bare Escentuals Inc","0001295557","cleaned"
"3406342020","Barnes & Noble Inc","0000890491","cleaned"
