term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,n_obs
operational_specificity_raw_z,-4.2044405162968745,0.929182132927552,-4.524883085138588,1.5845102717950026e-5,-6.046634468720466,-2.362246563873283,P4_proc_costs,3102
fl_sentence_share_z,1.2462389719627915,0.7347120489848081,1.6962277584596417,0.09277777325000895,-0.21039912454060916,2.7028770684661922,P4_proc_costs,3102
risk_transparency_z,-0.014681727019444785,1.416678639093352,-0.010363484430626284,0.9917507636038592,-2.8233849176875996,2.7940214636487104,P4_proc_costs,3102
tone_lm_z,0.8208549964246556,1.2643125715504369,0.6492500469389737,0.5175810917342089,-1.6857676459469386,3.3274776387962497,P4_proc_costs,3102
mda_fog_z,0.8780115197018071,1.072874841639434,0.8183727361526523,0.4149803309612987,-1.2490672035496293,3.005090242953244,P4_proc_costs,3102
mda_log_length_z,-3.1963077330552783,1.0331141419655123,-3.093857303099407,0.0025264578036303794,-5.244557002007317,-1.1480584641032392,P4_proc_costs,3102
ln_deal_value,1.0589532356476503,0.5965704811431491,1.775068108664181,0.078756942647497,-0.12380576671688415,2.2417122380121848,P4_proc_costs,3102
tender,6.6963371039420405,3.142273130316731,2.131048710990655,0.035396914130296823,0.4664750000567821,12.926199207827299,P4_proc_costs,3102
percentage_of_cash,0.01651009419160706,0.02146572081328517,0.7691376560431614,0.4435220329360612,-0.026047785114634826,0.059067973497848945,P4_proc_costs,3102
operational_specificity_raw_z,-5.01606095175651,1.0566857788303126,-4.746974978038397,6.492683962425858e-6,-7.111043283412032,-2.9210786201009866,P5_operational_specificity_raw_z,3102
ln_deal_value,0.7286675147236454,0.6225136823771595,1.1705244966522212,0.24441481145264557,-0.5055264073688694,1.9628614368161603,P5_operational_specificity_raw_z,3102
tender,7.242256517742025,3.561074490883974,2.0337278920397597,0.04447693418653845,0.18207998317248464,14.302433052311564,P5_operational_specificity_raw_z,3102
percentage_of_cash,0.022308863622162833,0.02166043774531187,1.0299359544103077,0.30538443104350804,-0.020635060940334564,0.06525278818466024,P5_operational_specificity_raw_z,3102
