term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,n_obs,odds_ratio
tender,1.608483591283537,0.184924397050199,8.698060488183735,3.376045791745024e-18,1.246038433202362,1.9709287493647119,C3_extended,4179,4.9952306703452285
percentage_of_cash,-0.008890252280981122,0.0018197761498716341,-4.885354872690377,1.0324272964540835e-6,-0.012456947994654487,-0.005323556567307756,C3_extended,4179,0.9911491491624514
operational_specificity_raw_z,-0.03412032020783433,0.055189874409823966,-0.6182351486156092,0.536420343795831,-0.14229048636237807,0.0740498459467094,C4_proc_costs,4186,0.9664552135494061
fl_sentence_share_z,-0.06874596211897704,0.046115861102393706,-1.4907227247982298,0.13603430724273766,-0.15913138899572027,0.021639464757766194,C4_proc_costs,4186,0.9335638105290945
risk_transparency_z,0.10656160560834,0.050746955846219265,2.099862027808295,0.0357409799103381,0.007099399824705921,0.20602381139197407,C4_proc_costs,4186,1.1124464572754673
tone_lm_z,-0.05825591722906789,0.054168644444032465,-1.075454588664452,0.2821712530026339,-0.1644245094307272,0.04791267497259142,C4_proc_costs,4186,0.9434084820559339
mda_fog_z,0.034737489981618096,0.059789174068815586,0.5809996629429311,0.5612406807142734,-0.08244713785865654,0.15192211782189274,C4_proc_costs,4186,1.0353478839307662
mda_log_length_z,-0.09530573993012956,0.04815585416601087,-1.979110153494023,0.0478036055514839,-0.18968947974027395,-9.22000119985153e-4,C4_proc_costs,4186,0.9090949453491378
ln_deal_value,0.08851134009458937,0.024202162794217545,3.657166545286472,2.550186932319062e-4,0.04107597266994772,0.13594670751923102,C4_proc_costs,4186,1.0925466421224952
tender,1.608329205140095,0.18382114413862582,8.749424407494706,2.144437195971552e-18,1.2480463830314426,1.9686120272487475,C4_proc_costs,4186,4.994459535474232
percentage_of_cash,-0.009125348664198955,0.0018135728771680659,-5.031696701622704,4.861579552297199e-7,-0.012679886186787045,-0.005570811141610863,C4_proc_costs,4186,0.9909161609706677
