term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,n_obs,time_ratio,pct_change,robust.se,hazard_ratio
tone_lm_z,-0.013264637750063903,0.015492483006293198,-0.8561983088621544,0.3918880978598611,-0.04362934647349739,0.01710007097336958,AFT4_weibull,3181,0.9868229498569233,-1.3177050143076685,NA,NA
ln_deal_value,7.761126602932923e-5,0.007365405554521558,0.010537269869910198,0.9915926306421271,-0.014358318352364188,0.014513540884422846,AFT4_weibull,3181,1.0000776142778616,0.007761427786157071,NA,NA
tender,-1.1962275963665536,0.03608428569171788,-33.15092909379979,5.491423733672377e-241,-1.2669514967301747,-1.1255036960029325,AFT4_weibull,3181,0.30233258390088913,-69.7667416099111,NA,NA
percentage_of_cash,0.0025897016897833197,4.0906755181456316e-4,6.3307433657247705,2.439828605116044e-10,0.0017879440209828037,0.0033914593585838357,AFT4_weibull,3181,1.002593057863742,0.25930578637420876,NA,NA
Log(scale),-0.21816426462442082,0.012539489749079615,-17.398177197794976,8.517031275208112e-68,NA,NA,AFT4_weibull,3181,0.8039933631511079,-19.60066368488921,NA,NA
operational_specificity_raw_z,-0.11229406955421382,0.019692218167796142,-4.2535596652099095,2.1039884384330684e-5,-0.16403716224052117,-0.06055097686790646,Cox1_censored,3181,NA,NA,0.026400022191453664,0.8937813849574068
fl_sentence_share_z,-0.0116817606127019,0.018762855359875243,-0.4487545760065521,0.6536087098922011,-0.06270258870244148,0.039339067477037686,Cox1_censored,3181,NA,NA,0.02603151307482453,0.9883862062378738
risk_transparency_z,0.02042542437835807,0.01835267085022876,0.7636095303350581,0.44509996819694464,-0.03200071039364043,0.07285155915035657,Cox1_censored,3181,NA,NA,0.026748519455219166,1.0206354508817597
tone_lm_z,0.00849357858092644,0.019169069873252797,0.32596754304024805,0.744448911978705,-0.04257625482399381,0.05956341198584669,Cox1_censored,3181,NA,NA,0.02605651624609054,1.0085297513590648
ln_deal_value,0.022094368753817113,0.00931752208958324,2.032213067706026,0.042132090547141066,7.854973038806945e-4,0.04340324020375353,Cox1_censored,3181,NA,NA,0.010872072965635126,1.0223402568943956
tender,1.61532492788235,0.049260521397403924,19.81617793417553,2.158964098877931e-87,1.4555575553599711,1.775092300404729,Cox1_censored,3181,NA,NA,0.0815154634384119,5.029521889890664
